dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp
actorfilms_4000;Hybrid;280;0.21785714285714286;0.9838709677419355;1;61;0;1
actorfilms_4000;Hybrid;560;0.1767857142857143;1.0;1;99;0;0
actorfilms_4000;Hybrid;840;0.15595238095238095;1.0;1;129;2;0
actorfilms_4000;Hybrid;1120;0.16964285714285715;0.9693877551020408;1;190;0;6
actorfilms_4000;Hybrid;1400;0.185;0.9773584905660377;1;258;1;6
actorfilms_4000;Hybrid;2800;0.14142857142857143;0.9565217391304348;1;392;4;18
actorfilms_4000;Hybrid;5600;0.13214285714285715;0.8505747126436781;1;727;13;130
actorfilms_4000;Hybrid;8400;0.10130952380952381;0.5955213435969209;1;768;83;578
actorfilms_4000;Hybrid;11200;0.055714285714285716;0.4124256444150694;1;587;37;889
actorfilms_4000;Hybrid;14000;0.042;0.1259100642398287;1;308;280;4082
actorfilms_4000;Pipeline;280;0.18928571428571428;1.0;2;53;0;0
actorfilms_4000;Pipeline;560;0.1732142857142857;1.0;2;97;0;0
actorfilms_4000;Pipeline;840;0.15476190476190477;1.0;2;130;0;0
actorfilms_4000;Pipeline;1120;0.1669642857142857;0.9894179894179894;2;187;0;2
actorfilms_4000;Pipeline;1400;0.15714285714285714;0.995475113122172;2;219;1;1
actorfilms_4000;Pipeline;2800;0.15;0.967741935483871;2;418;2;14
actorfilms_4000;Pipeline;5600;0.13875;0.8662207357859532;2;768;9;120
actorfilms_4000;Pipeline;8400;0.09035714285714286;0.5421428571428571;2;700;59;641
actorfilms_4000;Pipeline;11200;0.07008928571428572;0.3380706287683032;2;655;130;1537
actorfilms_4000;Pipeline;14000;0.046357142857142854;0.15829268292682927;2;333;316;3451
actorfilms_4000;Pipeline_noRev;280;0.18928571428571428;1.0;2;53;0;0
actorfilms_4000;Pipeline_noRev;560;0.1732142857142857;0.9897959183673469;2;97;0;1
actorfilms_4000;Pipeline_noRev;840;0.15476190476190477;1.0;2;130;0;0
actorfilms_4000;Pipeline_noRev;1120;0.1669642857142857;0.9739583333333334;2;187;0;5
actorfilms_4000;Pipeline_noRev;1400;0.15714285714285714;0.990990990990991;2;219;1;2
actorfilms_4000;Pipeline_noRev;2800;0.14964285714285713;0.9588100686498856;2;417;2;18
actorfilms_4000;Pipeline_noRev;5600;0.13910714285714285;0.8252118644067796;2;762;17;165
actorfilms_4000;Pipeline_noRev;8400;0.09773809523809524;0.4622747747747748;2;694;127;955
actorfilms_4000;Pipeline_noRev;11200;0.06848214285714285;0.2723721590909091;2;585;182;2049
actorfilms_4000;Pipeline_noRev;14000;0.046214285714285715;0.15177105324888576;2;329;318;3616
actorfilms_4000;Hybrid;280;0.18928571428571428;1.0;2;53;0;0
actorfilms_4000;Hybrid;560;0.1732142857142857;0.9897959183673469;2;97;0;1
actorfilms_4000;Hybrid;840;0.15476190476190477;1.0;2;130;0;0
actorfilms_4000;Hybrid;1120;0.1669642857142857;0.9739583333333334;2;187;0;5
actorfilms_4000;Hybrid;1400;0.15714285714285714;0.990990990990991;2;219;1;2
actorfilms_4000;Hybrid;2800;0.15;0.9610983981693364;2;418;2;17
actorfilms_4000;Hybrid;5600;0.14035714285714285;0.8326271186440678;2;769;17;158
actorfilms_4000;Hybrid;8400;0.09976190476190476;0.47184684684684686;2;712;126;938
actorfilms_4000;Hybrid;11200;0.06901785714285714;0.2745028409090909;2;603;170;2043
actorfilms_4000;Hybrid;14000;0.04642857142857143;0.15247478301665493;2;331;319;3613
actorfilms_4000;Pipeline;280;0.21785714285714286;1.0;3;61;0;0
actorfilms_4000;Pipeline;560;0.15;1.0;3;84;0;0
actorfilms_4000;Pipeline;840;0.21071428571428572;0.9943820224719101;3;176;1;1
actorfilms_4000;Pipeline;1120;0.18125;0.9902439024390244;3;201;2;2
actorfilms_4000;Pipeline;1400;0.16357142857142856;0.9828326180257511;3;229;0;4
actorfilms_4000;Pipeline;2800;0.14642857142857144;0.9785202863961814;3;410;0;9
actorfilms_4000;Pipeline;5600;0.1394642857142857;0.9443772672309553;3;775;6;46
actorfilms_4000;Pipeline;8400;0.0880952380952381;0.6440382941688425;3;705;35;409
