?;Bothell;WA;?;?;?;Battery Electric Vehicle (BEV);?;?;?
Kitsap;Seabeck;?;2022;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;35.0
Pierce;Puyallup;WA;?;TESLA;?;?;?;0;?
Spokane;?;WA;2021;TESLA;MODEL Y;?;?;?;?
King;?;WA;2022;TESLA;?;?;?;0;?
King;?;WA;?;CHEVROLET;BOLT EV;?;?;?;?
Kitsap;Poulsbo;WA;2015;?;LEAF;?;Clean Alternative Fuel Vehicle Eligible;84;?
King;?;?;2023;?;I4;?;?;0;41.0
Pierce;Fox Island;?;2018;BMW;?;?;?;16;?
Clark;?;WA;?;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;18.0
?;Bothell;WA;?;?;BOLT EUV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;1.0
King;Shoreline;WA;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;0;32.0
King;?;WA;2017;TESLA;?;?;?;200;?
Clark;?;?;2022;TESLA;?;Battery Electric Vehicle (BEV);?;0;17.0
King;Seattle;?;2022;MINI;?;?;Eligibility unknown as battery range has not been researched;?;?
?;?;WA;?;NISSAN;LEAF;Battery Electric Vehicle (BEV);?;150;45.0
King;Federal Way;WA;?;?;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;?;30.0
King;?;WA;2019;NISSAN;LEAF;?;?;150;?
King;Kent;WA;?;?;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;33.0
King;?;WA;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;?
?;Chelan;WA;?;?;?;?;Clean Alternative Fuel Vehicle Eligible;?;12.0
King;?;?;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;?;48.0
?;?;WA;2022;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
Grays Harbor;?;?;2020;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);?;?;19.0
King;Seattle;?;2021;?;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;37.0
King;?;WA;?;?;BOLT EV;Battery Electric Vehicle (BEV);?;?;33.0
Snohomish;?;?;2022;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);?;35;?
King;?;WA;?;CHEVROLET;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;259;32.0
?;Seattle;?;2018;?;LEAF;Battery Electric Vehicle (BEV);?;151;?
?;Seattle;WA;2023;?;?;Battery Electric Vehicle (BEV);?;0;36.0
?;Seattle;WA;2021;JEEP;WRANGLER;?;Not eligible due to low battery range;25;37.0
King;Maple Valley;WA;2023;?;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;?
?;?;WA;?;?;PS2;?;Eligibility unknown as battery range has not been researched;?;?
King;Bellevue;?;2023;TESLA;?;Battery Electric Vehicle (BEV);?;?;41.0
?;?;WA;?;VOLKSWAGEN;E-GOLF;?;?;?;35.0
Okanogan;?;?;2014;NISSAN;?;?;?;84;7.0
Jefferson;?;?;?;?;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;?
Pierce;?;WA;?;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);?;0;25.0
Jefferson;Port Townsend;?;?;NISSAN;?;?;Clean Alternative Fuel Vehicle Eligible;?;24.0
?;Kent;?;?;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;47.0
?;?;?;2022;?;CORSAIR;?;Not eligible due to low battery range;?;?
?;Issaquah;?;2019;?;BOLT EV;Battery Electric Vehicle (BEV);?;238;5.0
?;?;WA;?;?;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81;?
Pierce;Roy;?;?;?;?;?;Clean Alternative Fuel Vehicle Eligible;220;?
Pierce;Gig Harbor;WA;2019;?;?;?;?;220;26.0
?;?;WA;2015;?;MODEL S;Battery Electric Vehicle (BEV);?;208;?
King;Burien;WA;2022;?;?;Battery Electric Vehicle (BEV);?;0;?
King;?;?;?;?;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;215;46.0
Snohomish;?;WA;2021;?;?;Battery Electric Vehicle (BEV);?;?;1.0
