Chen Ruolin;F;23.0;160.0;?;China;CHN;2016 Summer;2016;Summer;Rio de Janeiro;Diving
Monique Andrade Ferreira;F;28.0;165.0;53.0;Brazil;BRA;2008 Summer;2008;Summer;Beijing;?
Zulia Ins Calatayud Torres;F;20.0;169.0;59.0;Cuba;CUB;2000 Summer;2000;Summer;Sydney;Athletics
Alexandra Coletti;F;30.0;164.0;60.0;Monaco;MON;?;2014;Winter;Sochi;?
?;M;24.0;170.0;?;El Salvador;ESA;2008 Summer;2008;Summer;Beijing;?
Meghan Duggan;F;26.0;178.0;73.0;United States;USA;?;2014;Winter;Sochi;?
?;?;25.0;183.0;68.0;Brazil;BRA;2008 Summer;2008;Summer;Beijing;?
Rajmund Csnyi;M;28.0;172.0;68.0;Hungary;HUN;1964 Summer;?;Summer;Tokyo;Gymnastics
Beatrice Nicoleta Coad-Claru;F;16.0;170.0;?;Romania;ROU;1992 Summer;1992;Summer;Barcelona;Swimming
Cosetta Campana;F;23.0;178.0;64.0;?;ITA;1984 Summer;1984;Summer;Los Angeles;?
Liliyana Lyubenova Aleksandrova;F;21.0;167.0;67.0;Bulgaria;BUL;1964 Summer;1964;Summer;Tokyo;Gymnastics
Emmanuel Degland;M;23.0;183.0;77.0;France;FRA;1924 Summer;1924;Summer;Paris;Athletics
Patrice Casimir;M;20.0;?;63.0;France;FRA;1992 Summer;1992;Summer;Barcelona;Gymnastics
Dorota Bielska;?;18.0;154.0;52.0;Poland;POL;?;1980;Summer;Moskva;Hockey
Bernard Decoux;M;19.0;164.0;60.0;France;?;1976 Summer;1976;Summer;Montreal;Gymnastics
Barna Bor;?;?;?;130.0;Hungary;HUN;2016 Summer;2016;Summer;Rio de Janeiro;Judo
Natalya Coyle;F;?;170.0;60.0;Ireland;IRL;2016 Summer;2016;Summer;Rio de Janeiro;Modern Pentathlon
Edson Isaas Freitas da Silva;M;34.0;170.0;83.0;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Canoeing
Valeriy Viktorovich Borchin;M;25.0;178.0;63.0;Russia;RUS;2012 Summer;2012;?;London;Athletics
Brian Fatih;?;?;?;109.0;United States;USA;?;2012;Summer;London;Sailing
Lus Miguel Faztudo e Costa;M;30.0;?;87.0;Angola;ANG;2008 Summer;2008;Summer;Beijing;Basketball
?;F;19.0;166.0;47.0;Mexico;MEX;1964 Summer;1964;Summer;Tokyo;Swimming
Elizabeth Bessey de Ltourdie;F;18.0;164.0;53.0;Seychelles;SEY;1980 Summer;1980;Summer;?;Athletics
Nataliya Vladimirovna Dmitriyeva;F;24.0;164.0;?;Russia;RUS;2002 Winter;2002;Winter;Salt Lake City;Short Track Speed Skating
