?;?;?;?;?;?;tt1538403
?;?;The Sting II;?;2055;?;?
Dascha Polanco;?;The Perfect Match;?;3717;?;tt4871980
David Graf;?;Police Academy 2: Their First Assignment;?;?;?;?
?;?;The Company You Keep;?;?;6.4;tt1381404
Anne Lockhart;nm0516860;E.T. the Extra-Terrestrial;?;?;7.8;tt0083866
?;nm0165101;?;2010;2548;?;?
?;nm0316079;The Hawk Is Dying;2006;?;?;tt0412808
?;nm0001610;The Thing About My Folks;2005;2293;6.5;tt0429177
?;nm0461455;How to Frame a Figg;1971;?;?;tt0067219
?;nm0001605;?;?;3948;4.5;tt0174336
?;?;?;2015;91026;?;?
?;?;The King of Staten Island;?;42901;7.1;tt9686708
Neal McDonough;nm0568180;Timeline;?;60584;?;?
?;nm0001262;A Rage to Live;1965;?;6.3;tt0059630
William Ragsdale;nm0706619;?;2008;26638;5.6;?
Dana Davis;?;?;?;?;5.9;?
Alessandro Juliani;?;?;2013;708780;?;tt0770828
?;?;The Lucky Man;?;?;?;?
?;nm0000387;Big Wednesday;?;?;7.2;?
?;?;?;2000;?;?;tt0236019
Thomas Sadoski;nm0755603;The New Twenty;2008;?;5.1;tt0949875
?;nm1064823;Fireflies in the Garden;2008;?;6.5;?
?;nm0684929;No Contest;1995;811;4.6;tt0110675
?;nm0000597;Bringing Up Bobby;2011;1796;?;tt1656170
?;nm0005110;?;?;?;?;tt0817230
?;nm0578949;The Place Beyond the Pines;?;?;7.3;?
?;?;?;?;?;?;tt1809398
Udo Kier;?;Crusade in Jeans;?;?;?;?
Suzanne Bertish;nm0078136;?;1979;?;6.1;tt0079268
Ben Affleck;?;?;?;264319;7.3;tt2140479
?;?;?;2015;8481;?;?
?;?;If Dad Only Knew;2004;?;?;?
Katie Johnson;nm0425507;?;?;?;?;?
Ann Sothern;?;?;?;163;?;tt0036433
?;nm5994559;?;2016;?;?;tt3774802
?;nm0000222;Black & White;1999;5526;?;?
?;?;1941;1979;?;?;tt0078723
?;?;?;?;?;4.7;tt0858424
?;nm2244205;?;?;?;6.4;tt2316801
Vinessa Shaw;nm0005416;The Hills Have Eyes;2006;159706;6.4;?
?;nm0000145;Shooting Heroin;?;1723;?;tt8332454
Jessalyn Gilsig;nm0319698;?;?;15248;?;?
?;nm0711110;?;?;675997;?;tt3498820
Forrest Tucker;nm0875861;Flight Nurse;?;102;5.4;?
?;nm0001987;Maina;2013;?;?;?
?;nm0000708;?;1995;459;?;tt0114397
Bill Sage;nm0756083;?;?;4669;5.5;tt2443822
Curtis Armstrong;?;Bucky Larson: Born to Be a Star;?;11404;?;tt1411664
Anne Lockhart;?;Osmosis Jones;2001;?;?;?
Paul McGann;nm0001524;?;1997;5528;?;tt0119095
Sam Witwer;?;?;2009;130535;?;tt1034032
Amanda Root;nm0740500;Their Finest;?;18220;6.8;?
John Leguizamo;?;?;?;92044;?;tt0118998
Michelle Monaghan;?;?;?;?;6.0;tt2139555
?;nm0000367;?;2010;?;?;?
?;nm0000113;Lisa Picard Is Famous;?;?;?;tt0233699
?;nm0001744;Speed Kills;?;2664;4.2;tt6749318
Michael Gaston;?;Body of Lies;?;215201;?;?
Kenneth Cranham;nm0186469;RPM;?;753;?;?
?;?;Time Bandits;?;?;7.0;tt0081633
?;nm0728132;?;2004;19808;6.0;tt0318974
?;nm1526554;?;?;1206;4.7;tt4738776
?;nm0817027;?;2012;642;?;?
?;?;Alien Factor 2: The Alien Rampage;2001;151;3.6;tt0413669
?;nm0000329;Dragon Fist;?;2081;6.2;?
?;?;Layer Cake;?;167616;?;?
?;?;?;1965;9596;?;tt0059903
Troy Donahue;?;Dr. Alien;1989;?;?;?
?;?;?;1990;?;6.2;?
Diahnne Abbott;nm0007958;?;1986;?;?;?
Christopher Gorham;?;My Girlfriend's Boyfriend;?;5683;5.8;tt1447793
Kari Wuhrer;?;Higher Learning;?;?;6.5;?
Omar Sharif;?;Heaven Before I Die;1997;121;?;?
?;?;Born on the Fourth of July;1989;99176;7.2;?
?;?;?;2014;?;7.0;?
Ginger Rogers;nm0001677;?;?;3978;7.2;?
?;?;?;?;?;?;?
Ian Gomez;?;The Ultimate Playlist of Noise;2021;?;?;?
Denholm Elliott;?;The Whoopee Boys;?;768;?;tt0092210
Kevin J. O'Connor;?;?;?;?;?;tt7677420
?;?;Gangnam Blues;?;?;?;tt3698118
?;nm1517974;?;?;3087;4.6;?
John McIntire;?;?;1955;?;6.0;tt0048652
Abbie Cornish;?;A Good Year;2006;?;7.0;?
?;nm0191520;?;1986;?;6.0;tt0091584
?;nm0158626;The Flintstones in Viva Rock Vegas;?;?;3.7;tt0158622
Harvey Keitel;nm0000172;The Comedian;?;6813;?;tt1967614
?;nm0508356;?;2004;4701;7.2;tt0439884
?;?;?;2000;909;4.7;tt0160495
Clifton Collins Jr.;nm0004286;?;2001;?;7.0;?
?;nm0000210;Larry Crowne;2011;?;6.1;tt1583420
?;?;Out at the Wedding;?;?;?;?
Jason Bateman;?;The Promotion;?;?;?;tt0803057
