?;0890;THEFT;FROM BUILDING;HOTEL/MOTEL;0;?;?;42.0;8.0
016XX N NEW ENGLAND AVE;?;CRIMINAL DAMAGE;TO PROPERTY;?;?;0;25.0;?;25.0
?;?;?;DOMESTIC BATTERY SIMPLE;?;0;1;2.0;4.0;39.0
047XX W VAN BUREN ST;1310;CRIMINAL DAMAGE;?;RESIDENTIAL YARD (FRONT/BACK);0;0;11.0;24.0;25.0
?;0810;THEFT;?;STREET;0;?;18.0;43.0;7.0
074XX S HALSTED ST;1506;PROSTITUTION;SOLICIT ON PUBLIC WAY;SIDEWALK;1;0;7.0;17.0;68.0
011XX W 63RD ST;?;MOTOR VEHICLE THEFT;THEFT/RECOVERY: AUTOMOBILE;ALLEY;?;0;7.0;?;?
035XX W 74TH ST;0460;BATTERY;?;?;0;0;8.0;18.0;66.0
020XX W CONCORD PL;1320;CRIMINAL DAMAGE;TO VEHICLE;?;0;0;14.0;32.0;?
?;041A;BATTERY;AGGRAVATED: HANDGUN;SIDEWALK;0;?;?;8.0;44.0
054XX S FEDERAL ST;0820;THEFT;?;?;?;?;2.0;3.0;40.0
?;?;THEFT;OVER $500;STREET;0;0;11.0;37.0;23.0
027XX N SPAULDING AVE;0620;BURGLARY;UNLAWFUL ENTRY;RESIDENCE-GARAGE;0;0;14.0;35.0;22.0
113XX S WENTWORTH AVE;2825;?;?;RESIDENCE;0;1;5.0;34.0;49.0
088XX S DAUPHIN AVE;?;THEFT;$500 AND UNDER;DRIVEWAY - RESIDENTIAL;0;0;6.0;?;?
?;?;BURGLARY;FORCIBLE ENTRY;?;?;0;1.0;?;33.0
058XX W 61ST ST;3710;INTERFERENCE WITH PUBLIC OFFICER;?;STREET;?;?;8.0;?;64.0
073XX S RHODES AVE;0620;BURGLARY;UNLAWFUL ENTRY;?;0;0;3.0;6.0;?
083XX S MARYLAND AVE;0486;BATTERY;?;APARTMENT;?;?;6.0;8.0;44.0
?;?;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;1;?;?;37.0;25.0
?;0560;ASSAULT;SIMPLE;PARKING LOT/GARAGE(NON.RESID.);1;?;4.0;?;43.0
?;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;?;1;12.0;25.0;31.0
?;0890;THEFT;FROM BUILDING;RESIDENCE;0;0;?;31.0;16.0
012XX N KEELER AVE;?;BURGLARY;UNLAWFUL ENTRY;APARTMENT;0;0;25.0;?;23.0
070XX S EGGLESTON AVE;0486;BATTERY;?;?;?;?;?;6.0;?
006XX N ORLEANS ST;1345;CRIMINAL DAMAGE;TO CITY OF CHICAGO PROPERTY;?;1;0;18.0;42.0;?
